params,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc,mean_test_average_precision
"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7496598639455783,0.7496853017400962,0.7227096179138436,0.8133469085523881,0.7644153777928407,0.8244148813752664,0.8187688350877987
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7699347306490163,0.7699370603480192,0.7723588063857074,0.7686782673084043,0.7691009482680184,0.839195192971572,0.8422348862221212
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.778061224489796,0.7780544242873011,0.7776852217830479,0.7808589411329138,0.778399784090203,0.8535657464202447,0.8499865090179337
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7699347306490163,0.7699370603480192,0.7723588063857074,0.7686782673084043,0.7691009482680184,0.8391218967949807,0.8421894941406183
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.778061224489796,0.7780544242873011,0.7776852217830479,0.7808589411329138,0.778399784090203,0.8535657464202447,0.8499865090179337
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7584206655635227,0.7584505738615328,0.7592003113929006,0.7592188078489448,0.7577863754782279,0.8484582787155908,0.8511227102430248
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.7753539253539253,0.775360977415772,0.774173590638575,0.7795075897815623,0.7755933956745776,0.8536152776249037,0.8558816970228584
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7590963412391983,0.7591262495372085,0.7601913023838917,0.7592188078489448,0.7582851964468476,0.8482931747000609,0.8510140175989699
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7753539253539253,0.775360977415772,0.774173590638575,0.7795075897815623,0.7755933956745776,0.8536152776249037,0.8558816970228584
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7726328369185512,0.7726305072195483,0.7717226207930155,0.7780821917808219,0.7737391263932161,0.8518461630827421,0.853173418528133
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7509882331310904,0.7510181414291003,0.7208244175715639,0.8227693446871529,0.7674617391830281,0.8402941353052423,0.8359565563457144
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7726328369185512,0.7726305072195483,0.7717226207930155,0.7780821917808219,0.7737391263932161,0.8517365940542542,0.8530630338280794
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7509882331310904,0.7510181414291003,0.7208244175715639,0.8227693446871529,0.7674617391830281,0.8402941353052423,0.8359565563457144
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7706104063246921,0.7706127360236948,0.7735001584489207,0.7686782673084043,0.7696203768965271,0.8393415351671554,0.8422795904714535
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.78211527854385,0.782108478341355,0.7788429760373821,0.7902998889300259,0.7837838118501963,0.8527962616448361,0.8496997136215404
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7712860820003677,0.7712884116993706,0.7737729759092382,0.7700296186597556,0.7705195623403016,0.8393783083342505,0.8423344530690692
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.78211527854385,0.782108478341355,0.7788429760373821,0.7902998889300259,0.7837838118501963,0.8527962616448361,0.8496997136215404
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7597766133480419,0.7598019252128841,0.761243933962839,0.7592188078489448,0.7588293647762507,0.8486048710687732,0.851226094786916
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.7726604155175584,0.7726582747130692,0.7710415152040099,0.7781192151055165,0.7734638343619974,0.8517736173789487,0.8512755406793172
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7590963412391983,0.7591169937060348,0.7602982599185732,0.7592188078489448,0.7583791732053695,0.8484400172108428,0.8510849117447055
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7726604155175584,0.7726582747130692,0.7710415152040099,0.7781192151055165,0.7734638343619974,0.8517736173789487,0.8512755406793172
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7726328369185512,0.7726305072195483,0.7717226207930155,0.7780821917808219,0.7737391263932161,0.8518829362498375,0.8531878268407155
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7564074278359993,0.7564328026656794,0.7270524451120721,0.8241392077008516,0.7716912497686936,0.8414966428850177,0.8348754299316896
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7726328369185512,0.7726305072195483,0.7717226207930155,0.7780821917808219,0.7737391263932161,0.8519377207640815,0.8533010487339474
"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7564074278359993,0.7564328026656794,0.7270524451120721,0.8241392077008516,0.7716912497686936,0.8414966428850177,0.8348754299316896
