params,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc,mean_test_average_precision
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 200}",0.7652325795182938,0.7652536097741576,0.7863832244374731,0.7294705664568679,0.7553485451213582,0.8520387844341937,0.8659046235231791
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}",0.7469157933443648,0.746917808219178,0.7744343027481573,0.6982969270640502,0.732862374028123,0.8233435814563175,0.8357694249247954
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.7597904026475455,0.7597926693817104,0.7794726317609699,0.7253239540910774,0.7502885013862663,0.8406498594114291,0.8526743753062259
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.7652325795182938,0.7652536097741576,0.7863832244374731,0.7294705664568679,0.7553485451213582,0.8520387844341937,0.8659046235231791
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 50}",0.7469295826438683,0.7469270640503518,0.7661007104348567,0.7145316549426137,0.7378722657409821,0.8240011207060449,0.8367123790586379
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 100}",0.7557363485934914,0.75574787115883,0.7701606801178067,0.7280451684561273,0.7474165205431416,0.8421974593994216,0.8559287877234144
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 200}",0.7692636514065087,0.769279896334691,0.7877855278516601,0.73619029988893,0.7603872839113784,0.852495447131693,0.8674816990852395
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 50}",0.7469295826438683,0.7469270640503518,0.7661007104348567,0.7145316549426137,0.7378722657409821,0.8240011207060449,0.8367123790586379
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.7557363485934914,0.75574787115883,0.7701606801178067,0.7280451684561273,0.7474165205431416,0.8421974593994216,0.8559287877234144
"{'bootstrap': False, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.7692636514065087,0.769279896334691,0.7877855278516601,0.73619029988893,0.7603872839113784,0.852495447131693,0.8674816990852395
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 50}",0.7536817429674573,0.7537115883006293,0.7960597499530515,0.6834320621991855,0.734079166381492,0.8208470086154277,0.8327661592479154
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 100}",0.7597995955138812,0.7598204368752314,0.7971235966230645,0.699666790077749,0.7433998352510576,0.8352427029028288,0.8485334708032305
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 200}",0.755083655083655,0.755109218807849,0.7891736972936108,0.6970011106997408,0.7386308574784302,0.8457334370653513,0.8596232881324081
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}",0.7536817429674573,0.7537115883006293,0.7960597499530515,0.6834320621991855,0.734079166381492,0.8208470086154277,0.8327661592479154
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.7597995955138812,0.7598204368752314,0.7971235966230645,0.699666790077749,0.7433998352510576,0.8352427029028288,0.8485334708032305
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.755083655083655,0.755109218807849,0.7891736972936108,0.6970011106997408,0.7386308574784302,0.8457334370653513,0.8596232881324081
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 50}",0.7564441993013421,0.7564698259903739,0.7901544165191944,0.6997223250647907,0.7405691190426407,0.8285867596585849,0.8437031878001061
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 100}",0.7530566280566281,0.7530636801184747,0.7776543769511348,0.709163272861903,0.7406338705192461,0.8405926983999918,0.854303366415236
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 200}",0.7618542011399155,0.7618659755646057,0.7948225353546416,0.707830433172899,0.7473341264010315,0.8496983099352592,0.8651518405348193
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 50}",0.7564441993013421,0.7564698259903739,0.7901544165191944,0.6997223250647907,0.7405691190426407,0.8285867596585849,0.8437031878001061
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.7530566280566281,0.7530636801184747,0.7776543769511348,0.709163272861903,0.7406338705192461,0.8405926983999918,0.854303366415236
"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.7618542011399155,0.7618659755646057,0.7948225353546416,0.707830433172899,0.7473341264010315,0.8496983099352592,0.8651518405348193
