Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.522,0.803,0.662,0.792,0.157,0.151,0.725,0.106
TS88,0.499,0.750,0.624,0.744,0.090,0.090,0.671,0.055
