Dataset,Sensitivity,Specificity,Balanced_acc,Accuracy,F1-score,MCC,AUC,auPR
TS49,0.5217,0.8028,0.6622,0.7924,0.1567,0.1505,0.7244,0.1058
TS88,0.4971,0.7508,0.6240,0.7444,0.0898,0.0894,0.6708,0.0546
